                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84167,                 3.5235,                 1.1448,                 1.0816,                 6.0954,                 1.1652,                0.00665,                0.72727,                0.23217,                0.22732,                  0.487,                 3.6519,                0.89612,                0.51789,                 7.9295,                0.91479,               0.000175,               0.000175,               0.000175
                      2,                0.93539,                  2.572,                  1.089,                0.98553,                 4.8953,                 1.0793,                  0.005,                0.72727,                0.32141,                0.30873,                0.56794,                 3.4041,                0.90423,                0.61248,                 7.5884,                 0.8738,             0.00034815,             0.00034815,             0.00034815
                      3,                 1.0627,                 2.1303,                 1.0903,                 1.0889,                 4.5221,                 1.0575,                0.00502,                0.72727,                0.47543,                0.41333,                0.94801,                 3.1341,                 1.0976,                0.89306,                 7.4972,                 1.0672,             0.00050644,             0.00050644,             0.00050644
                      4,                 1.2238,                 2.0269,                 1.2144,                 1.3366,                 4.5312,                 1.2028,                 0.4805,                0.56494,                0.42457,                0.35544,                0.82145,                 3.1593,                0.98906,                 0.6805,                  7.288,                0.91211,             0.00064989,             0.00064989,             0.00064989
                      5,                 1.0983,                 1.8046,                 1.0983,                  1.108,                  4.095,                 1.0353,                0.00412,                0.72727,                0.27661,                0.24499,                 0.8349,                 3.2127,                 1.0254,                0.73598,                 7.4174,                0.99989,             0.00077848,             0.00077848,             0.00077848
                      6,                  1.073,                 1.8174,                 1.1131,                 1.1606,                 4.4354,                 1.0877,                0.78516,                0.21557,                0.42784,                0.38528,                0.82065,                 2.4324,                 1.0061,                0.67477,                 6.8601,                 0.8976,             0.00089223,             0.00089223,             0.00089223
                      7,                 1.0434,                 1.7713,                  1.074,                 1.1283,                 4.4162,                 1.0463,                0.53992,                0.35241,                 0.4287,                0.34119,                0.82973,                 2.2756,                0.99886,                0.70147,                 6.6766,                0.91588,               0.000953,               0.000953,               0.000953
                      8,                 1.0504,                 1.6564,                 1.0641,                 1.1625,                 4.0453,                 1.0644,                0.71741,                0.42386,                 0.5145,                0.43652,                0.75761,                 1.9098,                0.99578,                 0.6972,                 6.4028,                0.93192,               0.000953,               0.000953,               0.000953
                      9,                 1.0022,                 1.6371,                 1.1057,                 1.1144,                 4.0565,                 1.0848,                0.49428,                0.39534,                0.52413,                0.38938,                0.72585,                 1.8348,                 0.9865,                0.75421,                 6.0422,                0.99511,              0.0009035,              0.0009035,              0.0009035
                     10,                0.91877,                 1.4935,                 1.0187,                 1.0879,                 3.8712,                 1.0195,                0.47498,                0.61753,                0.52462,                0.39718,                0.82186,                   1.63,                 1.0018,                0.80887,                 5.6818,                0.99918,               0.000854,               0.000854,               0.000854
                     11,                0.92605,                 1.4442,                 1.0685,                 1.0972,                 3.8009,                 1.0587,                0.40827,                0.57122,                0.52838,                0.36629,                0.82747,                  1.689,                 1.0161,                0.86313,                 5.6014,                 1.0196,              0.0008045,              0.0008045,              0.0008045
                     12,                0.90111,                 1.4315,                 1.0077,                 1.0684,                 3.6284,                 1.0294,                0.53411,                0.69334,                0.67405,                0.54012,                0.74177,                 1.4798,                0.98324,                 0.9208,                 5.1099,                 1.0318,               0.000755,               0.000755,               0.000755
                     13,                0.88487,                 1.3902,                 1.0291,                0.99735,                 3.6264,                 1.0281,                0.61619,                0.70839,                0.77553,                0.63281,                0.70662,                 1.4128,                  0.991,                0.78266,                 4.8936,                0.98777,              0.0007055,              0.0007055,              0.0007055
                     14,                0.88986,                 1.3103,                  1.046,                 1.0823,                 3.4619,                  1.062,                0.68676,                0.64714,                0.78855,                0.64309,                0.68678,                 1.3119,                0.97744,                0.73551,                 4.7827,                0.98714,               0.000656,               0.000656,               0.000656
                     15,                 0.9653,                 1.2916,                 1.0319,                 1.1695,                 3.1637,                  1.044,                0.72595,                0.54853,                0.76256,                0.61913,                  0.669,                 1.3625,                0.96062,                0.72449,                 4.7443,                0.97069,              0.0006065,              0.0006065,              0.0006065
                     16,                0.80566,                 1.4341,                0.97864,                0.88937,                 4.8096,                 1.0129,                0.73935,                0.67298,                0.78799,                0.65719,                0.59229,                  1.502,                0.93264,                0.74498,                 4.6513,                0.98042,               0.000557,               0.000557,               0.000557
                     17,                0.78535,                 1.3252,                0.94923,                0.94618,                 4.5735,                0.97364,                0.64723,                0.67037,                0.76902,                0.62843,                0.61247,                 1.4494,                0.93549,                0.73054,                 4.4666,                  1.004,              0.0005075,              0.0005075,              0.0005075
                     18,                0.74531,                 1.4424,                 0.9785,                0.90071,                 4.6802,                 1.0082,                0.82976,                0.54581,                  0.749,                0.61247,                0.60313,                 1.3032,                0.92014,                0.72265,                 4.2835,                0.98729,               0.000458,               0.000458,               0.000458
                     19,                 0.7085,                 1.3424,                0.90289,                0.87824,                 4.4132,                0.93331,                0.87424,                0.69382,                0.83347,                0.69902,                0.59201,                 1.1624,                0.93164,                0.76192,                 4.2639,                 1.0031,              0.0004085,              0.0004085,              0.0004085
                     20,                0.73005,                 1.2727,                0.97629,                0.83991,                 4.3331,                0.99667,                0.75655,                0.67783,                0.77198,                0.64631,                0.58028,                 1.1394,                0.92957,                0.73129,                 4.4724,                0.97631,               0.000359,               0.000359,               0.000359
                     21,                0.73455,                 1.2411,                0.95004,                0.86876,                 4.2816,                0.95788,                0.81891,                0.68511,                0.86755,                 0.7274,                0.54535,                 1.0206,                0.91192,                 0.7071,                  4.315,                0.97707,              0.0003095,              0.0003095,              0.0003095
                     22,                0.70953,                  1.196,                0.96101,                0.87696,                 4.2378,                0.99056,                0.75752,                 0.7319,                0.87894,                0.73133,                0.54051,                0.99777,                0.91136,                0.68948,                 4.2982,                0.97207,                0.00026,                0.00026,                0.00026
                     23,                0.71265,                 1.2315,                0.97238,                0.82753,                 4.2631,                 0.9885,                0.62719,                0.82218,                0.74818,                0.60009,                 0.5571,                 1.1213,                0.92093,                 0.7128,                 4.2618,                0.98186,              0.0002105,              0.0002105,              0.0002105
                     24,                0.68211,                 1.1427,                0.95362,                0.82665,                 4.0405,                0.99201,                0.65262,                0.82083,                0.77492,                0.63241,                0.55483,                 1.0466,                0.92401,                0.69071,                  4.198,                0.97812,               0.000161,               0.000161,               0.000161
                     25,                0.67157,                 1.2102,                0.92479,                0.79248,                 4.1602,                 0.9428,                 0.7012,                0.86293,                0.84834,                0.71412,                  0.553,                 0.9472,                0.93213,                0.70723,                  4.076,                0.99484,              0.0001115,              0.0001115,              0.0001115
